Afghanistan,Hibatullah Akhundzada,Hasan Akhund
Lesotho,Letsie III,Sam Matekane
Liberia,Joseph Boakai,Joseph Boakai
Libya,Mohamed al-Menfi,Abdul Hamid Dbeibeh
Liechtenstein,Hans-Adam II,Brigitte Haas
Lithuania,Gitanas Nausėda,Inga Ruginienė
Lithuania,Gitanas Nauseda,Inga Ruginiene
Luxembourg,Guillaume V,Luc Frieden
Madagascar,Michael Randrianirina,Mamitiana Rajaonarison
Malawi,Peter Mutharika,Peter Mutharika
Malaysia,Ibrahim Iskandar,Anwar Ibrahim
Maldives,Mohamed Muizzu,Mohamed Muizzu
Mali,Assimi Goïta,Assimi Goïta
Mali,Assimi Goita,Assimi Goita
Malta,Myriam Spiteri Debono,Robert Abela
Marshall Islands,Hilda Heine,Hilda Heine
Mauritania,Mohamed Ould Ghazouani,Mokhtar Ould Djay
Mauritius,Dharam Gokhool,Navin Ramgoolam
Mexico,Claudia Sheinbaum,Claudia Sheinbaum
Micronesia,Wesley Simina,Wesley Simina
Moldova,Maia Sandu,Alexandru Munteanu
Monaco,Albert II,Christophe Mirmand
Mongolia,Ukhnaagiin Khürelsükh,Nyam-Osoryn Uchral
Mongolia,Ukhnaagiin Khurelsukh,Nyam-Osoryn Uchral
Montenegro,Jakov Milatović,Milojko Spajić
Montenegro,Jakov Milatovic,Milojko Spajic
Morocco,Mohammed VI,Aziz Akhannouch
Mozambique,Daniel Chapo,Daniel Chapo
Myanmar,Min Aung Hlaing,Min Aung Hlaing
Namibia,Netumbo Nandi-Ndaitwah,Netumbo Nandi-Ndaitwah
Nauru,David Adeang,David Adeang
Nepal,Ram Chandra Poudel,Balendra Shah
Netherlands,Willem-Alexander,Rob Jetten
New Zealand,Charles III,Christopher Luxon
Nicaragua,Daniel Ortega,Daniel Ortega
Niger,Abdourahamane Tchiani,Ali Lamine Zeine
Nigeria,Bola Tinubu,Bola Tinubu
North Korea,Kim Jong Un,Pak Thae-song
North Macedonia,Gordana Siljanovska-Davkova,Hristijan Mickoski
Norway,Harald V,Jonas Gahr Støre
Norway,Harald V,Jonas Gahr Store
Oman,Haitham bin Tariq,Haitham bin Tariq
Pakistan,Asif Ali Zardari,Shehbaz Sharif
Palau,Surangel Whipps Jr.,Surangel Whipps Jr.
Palestine,Mahmoud Abbas,Mohammad Mustafa
Panama,José Raúl Mulino,José Raúl Mulino
Panama,Jose Raul Mulino,Jose Raul Mulino
Papua New Guinea,Charles III,James Marape
Paraguay,Santiago Peña,Santiago Peña
Paraguay,Santiago Pena,Santiago Pena
Peru,José María Balcázar,José María Balcázar
Peru,Jose Maria Balcazar,Jose Maria Balcazar
Philippines,Bongbong Marcos,Bongbong Marcos
